TIME.SecOfWeek   blh0.B        blh0.L        blh0.H      X       Y        Z       Dop       sigma0     mpos  
487767.000000  30.5100261310  114.3560556502  38.9198721154  -2268150.7364965659  5010321.5302277505  3219231.9622060708    1.3926    3.5828    4.9894  
487768.000000  30.5100261134  114.3560556581  38.9139125505  -2268150.7354799644  5010321.5261347806  3219231.9575064643    1.3925    3.5790    4.9836  
487769.000000  30.5100265113  114.3560556858  38.9806070328  -2268150.7523661326  5010321.5569826476  3219232.0293681389    1.3923    3.6164    5.0353  
487770.000000  30.5100267910  114.3560557090  39.0296228770  -2268150.7653145818  5010321.5801953096  3219232.0809675013    1.3922    3.6427    5.0714  
487771.000000  30.5100268807  114.3560556678  39.0437338287  -2268150.7646434782  5010321.5883043213  3219232.0966954906    1.3921    3.6530    5.0852  
487772.000000  30.5100272527  114.3560556916  39.1160925869  -2268150.7838023044  5010321.6250749063  3219232.1689673890    1.3919    3.6930    5.1403  
487773.000000  30.5100272895  114.3560556825  39.1000946881  -2268150.7764690742  5010321.6109971013  3219232.1643519355    1.3918    3.6869    5.1314  
487774.000000  30.5100271573  114.3560556212  39.0580861261  -2268150.7592494623  5010321.5872298777  3219232.1304013650    1.3917    3.6639    5.0989  
487775.000000  30.5100267437  114.3560555591  38.9562999858  -2268150.7272564704  5010321.5310052680  3219232.0392230246    1.3915    3.6047    5.0161  
487776.000000  30.5100267640  114.3560555277  38.9510451918  -2268150.7221702663  5010321.5270868512  3219232.0384898563    1.3914    3.5982    5.0064  
487777.000000  30.5100266483  114.3560555207  38.9365390390  -2268150.7190882680  5010321.5219081305  3219232.0200799359    1.3912    3.5856    4.9884  
